SSID,BSSID,PHY,CHANNEL,FREQUENCY,RSSI(dBm),SNR(dB)
DIRECT-B7-HP Laser 135w,b2:22:7a:5c:9a:b7,802.11g,1,2412,-39,54
DIRECT-B7-HP Laser 135w,b2:22:7a:5c:9a:b7,802.11g,1,2412,-39,54
OTE79E7C8,ac:64:62:79:e7:c8,802.11b,1,2412,-80,12
DIRECT-B7-HP Laser 135w,b2:22:7a:5c:9a:b7,802.11g,1,2412,-39,53
OTE79E7C8,ac:64:62:79:e7:c8,802.11b,1,2412,-81,11
DIRECT-B7-HP Laser 135w,b2:22:7a:5c:9a:b7,802.11g,1,2412,-39,53
OTE79E7C8,ac:64:62:79:e7:c8,802.11b,1,2412,-81,11
DIRECT-B7-HP Laser 135w,b2:22:7a:5c:9a:b7,802.11g,1,2412,-39,53
OTE79E7C8,ac:64:62:79:e7:c8,802.11b,1,2412,-77,15
DIRECT-B7-HP Laser 135w,b2:22:7a:5c:9a:b7,802.11g,1,2412,-40,52
OTE79E7C8,ac:64:62:79:e7:c8,802.11b,1,2412,-82,10
DIRECT-B7-HP Laser 135w,b2:22:7a:5c:9a:b7,802.11g,1,2412,-43,49
DIRECT-B7-HP Laser 135w,b2:22:7a:5c:9a:b7,802.11g,1,2412,-41,51
OTE79E7C8,ac:64:62:79:e7:c8,802.11b,1,2412,-77,15
DIRECT-B7-HP Laser 135w,b2:22:7a:5c:9a:b7,802.11g,1,2412,-41,51
OTE79E7C8,ac:64:62:79:e7:c8,802.11b,1,2412,-77,15
COSMOTE-757276,8a:21:da:4c:62:23,802.11b,1,2412,-91,1
OTE79E7C8,ac:64:62:79:e7:c8,802.11b,1,2412,-81,11
DIRECT-B7-HP Laser 135w,b2:22:7a:5c:9a:b7,802.11g,1,2412,-42,50
COSMOTE-757276,8a:21:da:4c:62:23,802.11b,1,2412,-87,5
OTE79E7C8,ac:64:62:79:e7:c8,802.11b,1,2412,-77,15
DIRECT-B7-HP Laser 135w,b2:22:7a:5c:9a:b7,802.11g,1,2412,-43,49
COSMOTE-757276,8a:21:da:4c:62:23,802.11b,1,2412,-91,1
OTE79E7C8,ac:64:62:79:e7:c8,802.11b,1,2412,-82,10
dim,58:98:35:11:98:78,802.11b,1,2412,-92,0
DIRECT-B7-HP Laser 135w,b2:22:7a:5c:9a:b7,802.11g,1,2412,-44,48
COSMOTE-757276,8a:21:da:4c:62:23,802.11b,1,2412,-92,0
OTE79E7C8,ac:64:62:79:e7:c8,802.11b,1,2412,-82,10
DIRECT-B7-HP Laser 135w,b2:22:7a:5c:9a:b7,802.11g,1,2412,-43,49
COSMOTE-757276,8a:21:da:4c:62:23,802.11b,1,2412,-90,2
OTE79E7C8,ac:64:62:79:e7:c8,802.11b,1,2412,-82,10
VODAFONE_WIFI_108-03999,44:13:d0:f1:ef:f7,802.11b,1,2412,-87,5
DIRECT-B7-HP Laser 135w,b2:22:7a:5c:9a:b7,802.11g,1,2412,-42,50
COSMOTE-757276,8a:21:da:4c:62:23,802.11b,1,2412,-91,1
OTE79E7C8,ac:64:62:79:e7:c8,802.11b,1,2412,-82,10
DIRECT-B7-HP Laser 135w,b2:22:7a:5c:9a:b7,802.11g,1,2412,-41,51
COSMOTE-757276,8a:21:da:4c:62:23,802.11b,1,2412,-91,1
OTE79E7C8,ac:64:62:79:e7:c8,802.11b,1,2412,-80,12
COSMOTE-757276,8a:21:da:4c:62:23,802.11b,1,2412,-93,-1
OTE79E7C8,ac:64:62:79:e7:c8,802.11b,1,2412,-80,12
COSMOTE-757276,8a:21:da:4c:62:23,802.11b,1,2412,-93,-1
OTE79E7C8,ac:64:62:79:e7:c8,802.11b,1,2412,-80,12
DIRECT-B7-HP Laser 135w,b2:22:7a:5c:9a:b7,802.11g,1,2412,-38,54
COSMOTE-757276,8a:21:da:4c:62:23,802.11b,1,2412,-92,0
OTE79E7C8,ac:64:62:79:e7:c8,802.11b,1,2412,-77,15
DIRECT-B7-HP Laser 135w,b2:22:7a:5c:9a:b7,802.11g,1,2412,-38,54
OTE79E7C8,ac:64:62:79:e7:c8,802.11b,1,2412,-80,12
kelitedao. jia,0c:73:29:5f:46:06,802.11b,1,2412,0,92
DIRECT-B7-HP Laser 135w,b2:22:7a:5c:9a:b7,802.11g,1,2412,-38,54
COSMOTE-757276,8a:21:da:4c:62:23,802.11b,1,2412,-92,0
OTE79E7C8,ac:64:62:79:e7:c8,802.11b,1,2412,-76,16
COSMOTE-541759,f8:aa:3f:92:dd:f6,802.11b,1,2412,-89,3
DIRECT-B7-HP Laser 135w,b2:22:7a:5c:9a:b7,802.11g,1,2412,-38,54
OTE79E7C8,ac:64:62:79:e7:c8,802.11b,1,2412,-80,12
WIND_2.4G_BE0B81,88:ac:c0:be:0b:81,802.11b,1,2412,-81,11
VODAFONE_WIFI_108-03999,44:13:d0:f1:ef:f7,802.11b,1,2412,-86,6
DIRECT-B7-HP Laser 135w,b2:22:7a:5c:9a:b7,802.11g,1,2412,-37,55
OTE79E7C8,ac:64:62:79:e7:c8,802.11b,1,2412,-76,16
DIRECT-B7-HP Laser 135w,b2:22:7a:5c:9a:b7,802.11g,1,2412,-37,55
OTE79E7C8,ac:64:62:79:e7:c8,802.11b,1,2412,-80,12
DIRECT-B7-HP Laser 135w,b2:22:7a:5c:9a:b7,802.11g,1,2412,-38,54
COSMOTE-757276,8a:21:da:4c:62:23,802.11b,1,2412,-92,0
DIRECT-B7-HP Laser 135w,b2:22:7a:5c:9a:b7,802.11g,1,2412,-42,50
COSMOTE-757276,8a:21:da:4c:62:23,802.11b,1,2412,-91,1
DIRECT-B7-HP Laser 135w,b2:22:7a:5c:9a:b7,802.11g,1,2412,-42,50
OTE79E7C8,ac:64:62:79:e7:c8,802.11b,1,2412,-77,15
DIRECT-B7-HP Laser 135w,b2:22:7a:5c:9a:b7,802.11g,1,2412,-43,49
COSMOTE-757276,8a:21:da:4c:62:23,802.11b,1,2412,-91,1
OTE79E7C8,ac:64:62:79:e7:c8,802.11b,1,2412,-80,12
COSMOTE-757276,8a:21:da:4c:62:23,802.11b,1,2412,-92,0
OTE79E7C8,ac:64:62:79:e7:c8,802.11b,1,2412,0,92
DIRECT-B7-HP Laser 135w,b2:22:7a:5c:9a:b7,802.11g,1,2412,-42,50
OTE79E7C8,ac:64:62:79:e7:c8,802.11b,1,2412,-77,15
DIRECT-B7-HP Laser 135w,b2:22:7a:5c:9a:b7,802.11g,1,2412,-41,51
COSMOTE-757276,8a:21:da:4c:62:23,802.11b,1,2412,-91,1
DIRECT-B7-HP Laser 135w,b2:22:7a:5c:9a:b7,802.11g,1,2412,-41,51
VODAFONE_WIFI_108-03999,44:13:d0:f1:ef:f7,802.11b,1,2412,-86,6
DIRECT-B7-HP Laser 135w,b2:22:7a:5c:9a:b7,802.11g,1,2412,-41,51
OTE79E7C8,ac:64:62:79:e7:c8,802.11b,1,2412,-76,16
DIRECT-B7-HP Laser 135w,b2:22:7a:5c:9a:b7,802.11g,1,2412,-41,51
OTE79E7C8,ac:64:62:79:e7:c8,802.11b,1,2412,-80,12
kelitedao. jia,0c:73:29:5f:46:06,802.11b,1,2412,-91,1
DIRECT-B7-HP Laser 135w,b2:22:7a:5c:9a:b7,802.11g,1,2412,-40,52
COSMOTE-757276,8a:21:da:4c:62:23,802.11b,1,2412,-92,0
OTE79E7C8,ac:64:62:79:e7:c8,802.11b,1,2412,-76,16
DIRECT-B7-HP Laser 135w,b2:22:7a:5c:9a:b7,802.11g,1,2412,-40,52
COSMOTE-757276,8a:21:da:4c:62:23,802.11b,1,2412,-92,0
kelitedao. jia,0c:73:29:5f:46:06,802.11b,1,2412,-90,2
DIRECT-B7-HP Laser 135w,b2:22:7a:5c:9a:b7,802.11g,1,2412,-40,52
OTE79E7C8,ac:64:62:79:e7:c8,802.11b,1,2412,-76,16
DIRECT-B7-HP Laser 135w,b2:22:7a:5c:9a:b7,802.11g,1,2412,-39,53
COSMOTE-757276,8a:21:da:4c:62:23,802.11b,1,2412,-91,1
DIRECT-B7-HP Laser 135w,b2:22:7a:5c:9a:b7,802.11g,1,2412,-38,54
OTE79E7C8,ac:64:62:79:e7:c8,802.11b,1,2412,-76,16
qwerty,30:99:35:b3:78:00,802.11b,1,2412,-93,-1
DIRECT-B7-HP Laser 135w,b2:22:7a:5c:9a:b7,802.11g,1,2412,-39,53
COSMOTE-757276,8a:21:da:4c:62:23,802.11b,1,2412,-90,2
OTE79E7C8,ac:64:62:79:e7:c8,802.11b,1,2412,-77,15
kelitedao. jia,0c:73:29:5f:46:06,802.11b,1,2412,-90,2
DIRECT-B7-HP Laser 135w,b2:22:7a:5c:9a:b7,802.11g,1,2412,-41,51
OTE79E7C8,ac:64:62:79:e7:c8,802.11b,1,2412,-75,17
kelitedao. jia,0c:73:29:5f:46:06,802.11b,1,2412,-91,0
DIRECT-B7-HP Laser 135w,b2:22:7a:5c:9a:b7,802.11g,1,2412,-46,45
dim,58:98:35:11:98:78,802.11b,1,2412,-93,-2
kelitedao. jia,0c:73:29:5f:46:06,802.11b,1,2412,-90,1
DIRECT-B7-HP Laser 135w,b2:22:7a:5c:9a:b7,802.11g,1,2412,-47,44
OTE79E7C8,ac:64:62:79:e7:c8,802.11b,1,2412,-87,4
dim,58:98:35:11:98:78,802.11b,1,2412,-93,-2
DIRECT-B7-HP Laser 135w,b2:22:7a:5c:9a:b7,802.11g,1,2412,-43,48
OTE79E7C8,ac:64:62:79:e7:c8,802.11b,1,2412,-82,9
